ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11159758,JA525606,11/23/2017 09:00:00 AM,059XX S WOLCOTT AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0714,007,15,67,05,1164704,1865330,2017,11/30/2017 03:52:45 PM,41.786073108,-87.671655725,"(41.786073108, -87.671655725)"
11159773,JA525720,11/23/2017 08:00:00 AM,015XX N TRIPP AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,2534,025,37,23,08A,1147773,1909711,2017,11/30/2017 03:52:45 PM,41.908201149,-87.732595525,"(41.908201149, -87.732595525)"
11159874,JA525850,11/23/2017 09:00:00 AM,042XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1624,016,45,15,07,1143603,1927926,2017,11/30/2017 03:52:45 PM,41.958263989,-87.7474569,"(41.958263989, -87.7474569)"
11159922,JA525777,11/23/2017 09:00:00 AM,005XX N COLUMBUS DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1834,018,42,8,14,1178412,1903766,2017,11/30/2017 03:52:45 PM,41.891243826,-87.620225683,"(41.891243826, -87.620225683)"
11159993,JA526007,11/23/2017 10:00:00 AM,030XX N CLYBOURN AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,1931,019,1,5,06,1160806,1920242,2017,11/30/2017 03:52:45 PM,41.93683849,-87.684426038,"(41.93683849, -87.684426038)"
11160024,JA526125,11/23/2017 01:00:00 PM,019XX N WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1434,014,32,22,14,1164045,1912910,2017,11/30/2017 03:52:45 PM,41.916651144,-87.672729895,"(41.916651144, -87.672729895)"
11160046,JA526149,11/23/2017 10:00:00 AM,012XX N LOCKWOOD AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,2532,025,37,25,26,1140802,1907592,2017,11/30/2017 03:52:45 PM,41.902517484,-87.758255943,"(41.902517484, -87.758255943)"
11160091,JA526210,11/23/2017 10:20:00 PM,053XX S HYDE PARK BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,0234,002,5,41,06,1188556,1870311,2017,11/30/2017 03:52:45 PM,41.799204348,-87.584044296,"(41.799204348, -87.584044296)"
11160112,JA525883,11/23/2017 01:40:00 PM,049XX N Hamilton Ave,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,2032,020,47,4,06,1161113,1932820,2017,11/30/2017 03:52:45 PM,41.97134681,-87.682946958,"(41.97134681, -87.682946958)"
11160129,JA526251,11/23/2017 06:00:00 PM,054XX N WINTHROP AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2023,020,48,77,06,1167891,1936194,2017,11/30/2017 03:52:45 PM,41.98046126,-87.657925733,"(41.98046126, -87.657925733)"
11160461,JA524629,11/23/2017 09:00:00 PM,098XX S MUSKEGON AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0431,004,10,51,06,1196710,1840329,2017,11/30/2017 03:52:45 PM,41.716732692,-87.555136839,"(41.716732692, -87.555136839)"
11160489,JA526640,11/23/2017 06:30:00 PM,005XX W ADAMS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,BANK,false,false,0121,001,2,28,14,1172616,1899360,2017,11/30/2017 03:52:45 PM,41.879283693,-87.641641821,"(41.879283693, -87.641641821)"
11160497,JA526566,11/23/2017 08:00:00 AM,041XX W HIRSCH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2534,025,37,23,14,1148365,1908997,2017,11/30/2017 03:52:45 PM,41.906230463,-87.730439234,"(41.906230463, -87.730439234)"
11160512,JA526678,11/23/2017 06:00:00 PM,026XX N FAIRFIELD AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,false,false,1411,014,35,22,14,1157582,1917507,2017,11/30/2017 03:52:45 PM,41.929399811,-87.696349372,"(41.929399811, -87.696349372)"
11160529,JA526694,11/23/2017 10:00:00 PM,046XX S LANGLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0221,002,4,38,08B,1181714,1874414,2017,11/30/2017 03:52:45 PM,41.810624238,-87.609008452,"(41.810624238, -87.609008452)"
11160573,JA526727,11/23/2017 08:00:00 AM,068XX S RIDGELAND AVE,0810,THEFT,OVER $500,OTHER,false,false,0332,003,5,43,06,1189045,1860032,2017,11/30/2017 03:52:45 PM,41.770986288,-87.582580182,"(41.770986288, -87.582580182)"
11160594,JA526637,11/23/2017 12:00:00 AM,005XX N CENTRAL AVE,0820,THEFT,$500 AND UNDER,CHA APARTMENT,false,false,1523,015,37,25,06,1138943,1902924,2017,11/30/2017 03:52:45 PM,41.889741913,-87.765198001,"(41.889741913, -87.765198001)"
11160600,JA526817,11/23/2017 11:00:00 AM,003XX N MAY ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,1214,012,27,28,06,1168769,1902191,2017,11/30/2017 03:52:45 PM,41.887136371,-87.655685196,"(41.887136371, -87.655685196)"
11160652,JA526813,11/23/2017 09:10:00 AM,052XX W LAKE ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1523,015,28,25,08B,1141190,1902044,2017,11/30/2017 03:52:45 PM,41.887285963,-87.756967633,"(41.887285963, -87.756967633)"
11160664,JA526858,11/23/2017 10:24:00 PM,010XX E 87TH ST,0890,THEFT,FROM BUILDING,OTHER,false,false,0412,004,8,44,06,1184800,1847514,2017,11/30/2017 03:52:45 PM,41.736736273,-87.598532484,"(41.736736273, -87.598532484)"
11160676,JA526879,11/23/2017 02:40:00 AM,012XX W 37TH ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0912,009,11,60,06,1168882,1880173,2017,11/30/2017 03:52:45 PM,41.826714668,-87.655908162,"(41.826714668, -87.655908162)"
11160729,JA526935,11/23/2017 04:00:00 PM,040XX W WILSON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1722,017,39,14,07,1148821,1930084,2017,11/30/2017 03:52:45 PM,41.964086202,-87.728217419,"(41.964086202, -87.728217419)"
11160901,JA527102,11/23/2017 04:00:00 PM,079XX S WOLCOTT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0611,006,18,71,11,1165069,1852043,2017,11/30/2017 03:52:45 PM,41.749604062,-87.670692772,"(41.749604062, -87.670692772)"
11161136,JA527435,11/23/2017 11:30:00 PM,013XX W ROSCOE ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1924,019,44,6,06,,,2017,11/30/2017 03:52:45 PM,,,
11161194,JA527331,11/23/2017 11:45:00 AM,007XX W 95TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2223,022,21,73,05,1173140,1841859,2017,11/30/2017 03:52:45 PM,41.721483419,-87.641417336,"(41.721483419, -87.641417336)"
11161221,JA522517,11/23/2017 07:30:00 AM,001XX E 25TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0133,001,2,33,07,,,2017,11/30/2017 03:52:45 PM,,,
11161370,JA527732,11/23/2017 03:30:00 PM,052XX S TRUMBULL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0822,008,14,63,05,,,2017,11/30/2017 03:52:45 PM,,,
11161400,JA527735,11/23/2017 05:00:00 PM,091XX S COTTAGE GROVE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,false,0633,006,8,44,20,,,2017,11/30/2017 03:52:45 PM,,,
11161615,JA527986,11/23/2017 03:30:00 PM,039XX W MADISON ST,0810,THEFT,OVER $500,OTHER,false,false,1122,011,28,26,06,,,2017,11/30/2017 03:52:45 PM,,,
11161680,JA522526,11/23/2017 03:00:00 AM,083XX S ABERDEEN ST,0810,THEFT,OVER $500,VEHICLE-COMMERCIAL,false,false,0613,006,21,71,06,,,2017,11/30/2017 03:52:45 PM,,,
11161730,JA527957,11/23/2017 06:30:00 AM,014XX N SEDGWICK ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1821,018,27,8,06,,,2017,11/30/2017 03:52:45 PM,,,
11161951,JA528461,11/23/2017 05:30:00 PM,003XX E SOUTH WATER ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0114,001,42,32,06,,,2017,11/30/2017 03:52:45 PM,,,
11161994,JA528488,11/23/2017 04:00:00 PM,046XX W VAN BUREN ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1131,011,24,25,08A,,,2017,11/30/2017 03:52:45 PM,,,
11162002,JA522911,11/23/2017 04:57:00 PM,083XX S STEWART AVE,0865,THEFT,DELIVERY CONTAINER THEFT,VEHICLE - DELIVERY TRUCK,false,false,0622,006,21,44,06,,,2017,11/30/2017 03:52:45 PM,,,
11162807,JA529356,09/12/2017 12:00:00 AM,040XX W 19TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1012,010,24,29,08A,,,2017,11/30/2017 03:52:45 PM,,,
11162817,JA529411,11/23/2017 02:40:00 AM,021XX W ADDISON ST,0820,THEFT,$500 AND UNDER,SPORTS ARENA/STADIUM,false,false,1921,019,47,5,06,,,2017,11/30/2017 03:52:45 PM,,,
11162842,JA528045,10/31/2017 12:00:00 PM,083XX S DAMEN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0614,006,18,71,11,,,2017,11/30/2017 03:52:45 PM,,,
11162851,JA529429,11/02/2017 02:30:00 PM,032XX N KOSTNER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1731,017,31,16,06,,,2017,11/30/2017 03:52:45 PM,,,
11162858,JA506821,07/25/2017 01:25:00 PM,035XX S STATE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESTAURANT,false,false,0213,002,3,35,11,,,2017,11/30/2017 03:52:45 PM,,,
11162860,JA505706,11/05/2017 11:20:00 AM,0000X W WASHINGTON ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,ATM (AUTOMATIC TELLER MACHINE),false,false,0112,001,42,32,11,,,2017,11/30/2017 03:52:45 PM,,,
11162866,JA505615,11/07/2017 04:20:00 PM,0000X S DEARBORN ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,false,false,0112,001,42,32,11,,,2017,11/30/2017 03:52:45 PM,,,
11162867,JA529409,01/01/2017 12:00:00 PM,036XX N LAKE SHORE DR,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,1925,019,46,6,11,,,2017,11/30/2017 03:52:45 PM,,,
11162872,JA529920,10/15/2017 03:00:00 PM,022XX W FULLERTON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,true,1432,014,32,22,26,,,2017,11/30/2017 03:52:45 PM,,,
11162874,JA529507,11/21/2017 04:00:00 PM,007XX N WELLS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1832,018,42,8,14,,,2017,11/30/2017 03:52:45 PM,,,
11162886,JA529542,11/03/2017 09:15:00 AM,018XX W HURON ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,1221,012,1,24,11,,,2017,11/30/2017 03:52:45 PM,,,
